#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
1611	1436	2885	107823	109142	-	-	CSF1R	GRB2	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	Two-hybrid	physical	Mancini A (1997)	PUBMED:9380408	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P62993	B0LPF3	NP_002077|NP_987102	-	-	-	-	-	-	Homo sapiens	Homo sapiens
11138	1436	8651	107823	114203	-	-	CSF1R	SOCS1	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP3	Two-hybrid	physical	Bourette RP (2001)	PUBMED:11297560	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	O15524	Q4JHT5	NP_003736	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275303	1436	1435	107823	107822	-	RP11-195M16.2	CSF1R	CSF1	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	CSF-1|MCSF	Reconstituted Complex	physical	Wang ZE (1993)	PUBMED:8355686	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P09603	A0A024R0A1	NP_757351|NP_757350|NP_757349|NP_000748	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279865	867	1436	107315	107823	-	-	CBL	CSF1R	C-CBL|CBL2|FRA11B|NSLL|RNF55	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Two-hybrid	physical	Mancini A (2002)	PUBMED:11847211	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P22681	-	NP_005179	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279866	1436	867	107823	107315	-	-	CSF1R	CBL	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	C-CBL|CBL2|FRA11B|NSLL|RNF55	Affinity Capture-Western	physical	Mancini A (2002)	PUBMED:11847211	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P22681	-	NP_005179	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279867	867	1436	107315	107823	-	-	CBL	CSF1R	C-CBL|CBL2|FRA11B|NSLL|RNF55	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Reconstituted Complex	physical	Mancini A (2002)	PUBMED:11847211	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P22681	-	NP_005179	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280014	9402	1436	114799	107823	RP3-370M22.1	-	GRAP2	CSF1R	GADS|GRAP-2|GRB2L|GRBLG|GRID|GRPL|GrbX|Grf40|Mona|P38	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Reconstituted Complex	physical	Bourette RP (1998)	PUBMED:9857184	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75791	Q6FI14|B7Z8E3	NP_001278757|NP_001278755|NP_001278754|NP_001278753|NP_004801	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
281394	1436	2885	107823	109142	-	-	CSF1R	GRB2	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	Reconstituted Complex	physical	Mancini A (1997)	PUBMED:9380408	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P62993	B0LPF3	NP_002077|NP_987102	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287976	2534	1436	108810	107823	RP1-66H14.1	-	FYN	CSF1R	SLK|SYN|p59-FYN	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Reconstituted Complex	physical	Courtneidge SA (1993)	PUBMED:7681396	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P06241	-	NP_002028|NP_001357458|NP_694593|NP_694592	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287977	1436	2534	107823	108810	-	RP1-66H14.1	CSF1R	FYN	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	SLK|SYN|p59-FYN	Reconstituted Complex	physical	Courtneidge SA (1993)	PUBMED:7681396	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P06241	-	NP_002028|NP_001357458|NP_694593|NP_694592	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287978	1436	6714	107823	112592	-	RP5-823N20.1	CSF1R	SRC	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	ASV|SRC1|c-SRC|p60-Src	Affinity Capture-Western	physical	Courtneidge SA (1993)	PUBMED:7681396	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P12931	-	NP_938033|NP_005408	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287979	1436	2534	107823	108810	-	RP1-66H14.1	CSF1R	FYN	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	SLK|SYN|p59-FYN	Affinity Capture-Western	physical	Courtneidge SA (1993)	PUBMED:7681396	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P06241	-	NP_002028|NP_001357458|NP_694593|NP_694592	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287980	1436	7525	107823	113357	-	-	CSF1R	YES1	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	HsT441|P61-YES|Yes|c-yes	Affinity Capture-Western	physical	Courtneidge SA (1993)	PUBMED:7681396	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P07947	-	NP_005424	-	-	-	-	-	-	Homo sapiens	Homo sapiens
300337	9021	1436	114488	107823	-	-	SOCS3	CSF1R	ATOD4|CIS3|Cish3|SOCS-3|SSI-3|SSI3	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Affinity Capture-Western	physical	Hoertner M (2002)	PUBMED:12133942	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14543	Q6FI39	NP_003946	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
301829	1436	8651	107823	114203	-	-	CSF1R	SOCS1	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP3	Affinity Capture-Western	physical	Bourette RP (2001)	PUBMED:11297560	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	O15524	Q4JHT5	NP_003736	-	-	-	-	-	-	Homo sapiens	Homo sapiens
301830	1436	8651	107823	114203	-	-	CSF1R	SOCS1	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP3	Reconstituted Complex	physical	Bourette RP (2001)	PUBMED:11297560	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	O15524	Q4JHT5	NP_003736	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316368	4067	1436	110245	107823	-	-	LYN	CSF1R	JTK8|p53Lyn|p56Lyn	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Affinity Capture-Western	physical	Li Y (1995)	PUBMED:7636265	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07948	A8K379|Q6NUK7	NP_002341|NP_001104567	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
518856	867	1436	107315	107823	-	-	CBL	CSF1R	C-CBL|CBL2|FRA11B|NSLL|RNF55	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Affinity Capture-Western	physical	Wilhelmsen K (2002)	PUBMED:11850825	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P22681	-	NP_005179	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
