#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
277025	952	2214	107390	108508	-	RP11-5K23.1	CD38	FCGR3A	ADPRC 1|T10	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	FRET	physical	Deaglio S (2002)	PUBMED:11895784	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P28907	-	NP_001766	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287769	325	2214	106822	108508	-	RP11-5K23.1	APCS	FCGR3A	HEL-S-92n|PTX2|SAP	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	Reconstituted Complex	physical	Bharadwaj D (2001)	PUBMED:11359830	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P02743	V9HWP0	NP_001630	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	-	-	-	-	-	-	Homo sapiens	Homo sapiens
739813	2214	351	108508	106848	RP11-5K23.1	-	FCGR3A	APP	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	PUBMED:21832049	9606	9606	High Throughput	-	-	-	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
892153	2214	7597	108508	113422	RP11-5K23.1	-	FCGR3A	ZBTB25	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	C14orf51|KUP|ZNF46	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P24278	-	NP_001291436|NP_008908	-	-	-	-	-	-	Homo sapiens	Homo sapiens
904007	2214	6850	108508	112717	RP11-5K23.1	-	FCGR3A	SYK	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	p72-Syk	Affinity Capture-Western	physical	Darby C (1994)	PUBMED:8189062	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P43405	A0A024R244|A0A024R273	NP_001167639|NP_001167638|NP_001128524|NP_003168	-	-	-	-	-	-	Homo sapiens	Homo sapiens
904008	6850	2214	112717	108508	-	RP11-5K23.1	SYK	FCGR3A	p72-Syk	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	Biochemical Activity	physical	Darby C (1994)	PUBMED:8189062	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P43405	A0A024R244|A0A024R273	NP_001167639|NP_001167638|NP_001128524|NP_003168	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1180576	2214	2215	108508	108509	RP11-5K23.1	RP11-25K21.3	FCGR3A	FCGR3B	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	CD16|CD16b|FCG3|FCGR3|FCR-10|FCRIII|FCRIIIb	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.961707436	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.961707436, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	O75015	M9MML6|A0A087WZR4|A0A087WU90	NP_001257966|NP_001257965|NP_001257964|NP_001231682|NP_000561	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1180577	2214	2710	108508	108975	RP11-5K23.1	-	FCGR3A	GK	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	GK1|GKD	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.982158278	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.982158278, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P32189	B4DH54	NP_001121599|NP_001191948|NP_976325|NP_000158	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1180578	2214	9810	108508	115149	RP11-5K23.1	-	FCGR3A	RNF40	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	BRE1B|RBP95|STARING	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.810440401	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.810440401, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	O75150	A8K6K1|A0A024QZG0	NP_001193962|NP_055586|NP_001273501|NP_001193963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1504707	2214	2209	108508	108503	RP11-5K23.1	RP11-196G18.2	FCGR3A	FCGR1A	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	CD64|CD64A|FCRI|IGFR1	Co-localization	physical	Chen TC (2014)	PUBMED:25241761	9606	9606	High Throughput	-	-	in situ PLA	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P12314	-	NP_000557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2261921	2214	10981	108508	116177	RP11-5K23.1	-	FCGR3A	RAB32	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	-	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.872222528	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.872222528, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	Q13637	-	NP_006825	-	-	-	-	-	-	Homo sapiens	Homo sapiens
