Sample	Run	BioSample	GEO_Accession	Experiment	Bases	Bytes	Instrument	Layout	AvgSpotLen	Condition	Cell_type
c1	SRR33064474	SAMN47868115	GSM8900586	SRX28329501	8.42 G	2.59 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c2	SRR33064475	SAMN47868116	GSM8900585	SRX28329500	10.26 G	3.19 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c3	SRR33064476	SAMN47868117	GSM8900584	SRX28329499	9.25 G	2.86 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c4	SRR33064477	SAMN47868118	GSM8900583	SRX28329498	7.93 G	2.45 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c5	SRR33064478	SAMN47868119	GSM8900582	SRX28329497	10.75 G	3.30 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c6	SRR33064479	SAMN47868120	GSM8900581	SRX28329496	7.56 G	2.31 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c7	SRR33064480	SAMN47868121	GSM8900580	SRX28329495	7.03 G	2.14 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c8	SRR33064481	SAMN47868122	GSM8900579	SRX28329494	8.28 G	2.52 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c9	SRR33064482	SAMN47868123	GSM8900578	SRX28329493	6.24 G	1.91 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c10	SRR33064483	SAMN47868124	GSM8900577	SRX28329492	5.86 G	1.78 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c11	SRR33064484	SAMN47868125	GSM8900576	SRX28329491	7.61 G	2.34 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c12	SRR33064485	SAMN47868126	GSM8900575	SRX28329490	8.18 G	2.52 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c13	SRR33064486	SAMN47868127	GSM8900574	SRX28329489	7.44 G	2.29 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c14	SRR33064487	SAMN47868128	GSM8900573	SRX28329488	8.30 G	2.55 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
c15	SRR33064488	SAMN47868129	GSM8900572	SRX28329487	6.83 G	2.12 Gb	Illumina NovaSeq 6000	PAIRED	302	hc	Monocyte
t1	SRR33064465	SAMN47868106	GSM8900595	SRX28329510	11.14 G	3.42 Gb	Illumina NovaSeq 6000	PAIRED	302	ra	Monocyte
t2	SRR33064466	SAMN47868107	GSM8900594	SRX28329509	12.78 G	3.93 Gb	Illumina NovaSeq 6000	PAIRED	302	ra	Monocyte
t3	SRR33064467	SAMN47868108	GSM8900593	SRX28329508	9.81 G	3.01 Gb	Illumina NovaSeq 6000	PAIRED	302	ra	Monocyte
t4	SRR33064468	SAMN47868109	GSM8900592	SRX28329507	8.34 G	2.58 Gb	Illumina NovaSeq 6000	PAIRED	302	ra	Monocyte
t5	SRR33064469	SAMN47868110	GSM8900591	SRX28329506	8.64 G	2.68 Gb	Illumina NovaSeq 6000	PAIRED	302	ra	Monocyte
t6	SRR33064470	SAMN47868111	GSM8900590	SRX28329505	8.72 G	2.69 Gb	Illumina NovaSeq 6000	PAIRED	302	ra	Monocyte
t7	SRR33064471	SAMN47868112	GSM8900589	SRX28329504	11.25 G	3.46 Gb	Illumina NovaSeq 6000	PAIRED	302	ra	Monocyte
t8	SRR33064472	SAMN47868113	GSM8900588	SRX28329503	8.80 G	2.73 Gb	Illumina NovaSeq 6000	PAIRED	302	ra	Monocyte
t9	SRR33064473	SAMN47868114	GSM8900587	SRX28329502	9.69 G	2.98 Gb	Illumina NovaSeq 6000	PAIRED	302	ra	Monocyte
