Sample	Run	BioSample	GEO_Accession	Experiment	Bases	Bytes	Instrument	LibraryLayout	AvgSpotLen	Source	Cohort	Condition	Subtype
c1	SRR8351205	SAMN10612865	GSM3520102	SRX5162167	4.80 G	3.49 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	hc	hc
c2	SRR8351206	SAMN10612864	GSM3520103	SRX5162168	4.89 G	3.56 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	hc	hc
c3	SRR8351207	SAMN10612863	GSM3520104	SRX5162169	4.88 G	3.59 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	hc	hc
c4	SRR8351208	SAMN10612862	GSM3520105	SRX5162170	4.92 G	3.51 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	hc	hc
c5	SRR8351209	SAMN10612861	GSM3520106	SRX5162171	4.80 G	3.53 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	hc	hc
c6	SRR8351210	SAMN10612860	GSM3520107	SRX5162172	4.92 G	3.53 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	hc	hc
c7	SRR8351211	SAMN10612859	GSM3520108	SRX5162173	4.91 G	3.54 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	hc	hc
c8	SRR8351212	SAMN10612858	GSM3520109	SRX5162174	4.76 G	3.36 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	hc	hc
c9	SRR8351213	SAMN10612835	GSM3520110	SRX5162175	4.76 G	3.37 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	hc	hc
t1	SRR8351223	SAMN10612825	GSM3520120	SRX5162185	4.92 G	3.60 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t2	SRR8351224	SAMN10612824	GSM3520121	SRX5162186	4.78 G	3.49 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t3	SRR8351225	SAMN10612823	GSM3520122	SRX5162187	4.88 G	3.56 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t4	SRR8351226	SAMN10612822	GSM3520123	SRX5162188	4.86 G	3.53 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t5	SRR8351227	SAMN10612821	GSM3520124	SRX5162189	4.93 G	3.60 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t6	SRR8351228	SAMN10612820	GSM3520125	SRX5162190	4.90 G	3.58 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t7	SRR8351229	SAMN10612819	GSM3520126	SRX5162191	4.79 G	3.13 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t8	SRR8351230	SAMN10612818	GSM3520127	SRX5162192	4.94 G	3.51 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t9	SRR8351231	SAMN10612894	GSM3520128	SRX5162193	4.93 G	3.50 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t10	SRR8351232	SAMN10612893	GSM3520129	SRX5162194	4.83 G	3.52 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t11	SRR8351233	SAMN10612892	GSM3520130	SRX5162195	4.91 G	3.48 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	early
t12	SRR8351234	SAMN10612877	GSM3520131	SRX5162196	4.81 G	3.51 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	non_cutaneous
t13	SRR8351235	SAMN10612876	GSM3520132	SRX5162197	4.88 G	3.54 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	non_cutaneous
t14	SRR8351236	SAMN10612875	GSM3520133	SRX5162198	4.84 G	3.51 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	non_cutaneous
t15	SRR8351237	SAMN10612874	GSM3520134	SRX5162199	4.78 G	3.51 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	non_cutaneous
t16	SRR8351238	SAMN10612873	GSM3520135	SRX5162200	4.81 G	3.14 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	non_cutaneous
t17	SRR8351239	SAMN10612872	GSM3520136	SRX5162201	4.90 G	3.58 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	non_cutaneous
t18	SRR8351240	SAMN10612871	GSM3520137	SRX5162202	4.72 G	3.40 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	non_cutaneous
t19	SRR8351241	SAMN10612870	GSM3520138	SRX5162203	4.92 G	3.55 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	non_cutaneous
t20	SRR8351242	SAMN10612869	GSM3520139	SRX5162204	4.76 G	3.39 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	non_cutaneous
t21	SRR8351243	SAMN10612868	GSM3520140	SRX5162205	4.89 G	3.58 Gb	Illumina HiSeq 2000	PAIRED	180	monocytes	Milan_nfSSc	scl	non_cutaneous
