Sample	Run	BioSample	GEO_Accession	Experiment	Bases	Bytes	Instrument	Layout	AvgSpotLen	Source	Batch	Condition	Subtype
c1	SRR34725640	SAMN50209749	GSM9126564	SRX29860154	2.41 G	711.25 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	hc	hc
c2	SRR34725637	SAMN50209745	GSM9126568	SRX29860158	2.24 G	662.18 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	hc	hc
c3	SRR34725622	SAMN50209731	GSM9126582	SRX29860172	2.33 G	685.93 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	hc	hc
c4	SRR34725621	SAMN50209730	GSM9126583	SRX29860173	1.71 G	505.18 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	hc	hc
c5	SRR34725620	SAMN50209729	GSM9126584	SRX29860174	2.27 G	670.28 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	hc	hc
c6	SRR34725616	SAMN50209724	GSM9126589	SRX29860179	2.06 G	610.28 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	hc	hc
c7	SRR34725614	SAMN50209723	GSM9126590	SRX29860180	1.78 G	525.88 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	hc	hc
c8	SRR34725613	SAMN50209722	GSM9126591	SRX29860181	2.60 G	763.76 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	hc	hc
c9	SRR34725615	SAMN50209720	GSM9126593	SRX29860183	2.11 G	624.54 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	2	hc	hc
c10	SRR34725611	SAMN50209719	GSM9126594	SRX29860184	1.86 G	551.63 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	2	hc	hc
c11	SRR34725660	SAMN50209707	GSM9126606	SRX29860136	2.59 G	763.27 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	2	hc	hc
c12	SRR34725650	SAMN50209697	GSM9126616	SRX29860146	2.24 G	660.05 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	2	hc	hc
c13	SRR34725649	SAMN50209696	GSM9126617	SRX29860147	2.33 G	687.37 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	2	hc	hc
c14	SRR34725647	SAMN50209695	GSM9126618	SRX29860148	2.00 G	589.42 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	2	hc	hc
c15	SRR34725646	SAMN50209694	GSM9126619	SRX29860149	1.51 G	446.26 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	2	hc	hc
t1	SRR34725663	SAMN50209752	GSM9126561	SRX29860132	2.41 G	711.08 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	scl	limited
t2	SRR34725645	SAMN50209751	GSM9126562	SRX29860133	2.45 G	720.13 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	scl	limited
t3	SRR34725642	SAMN50209750	GSM9126563	SRX29860153	2.58 G	759.99 Mb	Illumina HiSeq 2000	PAIRED	102	monocytes	1	scl	limited
